term,def,file_name,extraction_rule,plain_text_def,plain_text_term,mentioned_proofwiki_terms
total variation distance,"Let $\mu$ and $\nu$ be two probability measures on a finite set $X$.
The \emph{total variation distance} $d(\mu,\nu)$ is defined to be
$\max_{A\subset X}|\mu(A)-\nu(A)|$.",0910.3926#dhjrewrite2.tex,definition + \emph{},"Let μ and ν be two probability measures on a finite set X.
The total variation distance d(μ,ν) is defined to be
max_A⊂ X|μ(A)-ν(A)|.",total variation distance,['Distance']
total variation distance,"For probability distributions $\mu$ and $\eta$ on the set $\mathcal S$, \emph{total variation distance} is
\[ 
\| \mu-\eta \|_{TV}=\frac 12 \sum_{x \in \mathcal S} \lv \mu(x)-\eta(x) \rv.
 \]",1710.03845#1710.03845.tex,definition + \emph{},"For probability distributions μ and η on the set 𝒮, total variation distance is

    μ-η_TV=1/2∑_x ∈𝒮μ(x)-η(x) .
",total variation distance,['Distance']
touch-graph,"\label{touch}Let $F$ be a 4-regular graph, and $P$ a partition of the edge-set
of $F$ into edge-disjoint circuits. The \emph{touch-graph} $Tch(P)$ is the
graph with a vertex for each circuit of $P$ and an edge for each vertex of
$F$, the edge corresponding to $v$ incident on the vertex or vertices
corresponding to circuits of $P$ that are incident at $v$.",1504.04299#revisedch2.tex,definition + \emph{},"Let F be a 4-regular graph, and P a partition of the edge-set
of F into edge-disjoint circuits. The touch-graph Tch(P) is the
graph with a vertex for each circuit of P and an edge for each vertex of
F, the edge corresponding to v incident on the vertex or vertices
corresponding to circuits of P that are incident at v.",touch-graph,['Graph']
touch-graph,"\label{touch}
Let $P$ be a circuit partition in a 4-regular graph $F$. Then the~\emph{touch-graph} $Tch(P)$ is the graph with a vertex $v_{\gamma}$ for each $\gamma \in P$ and an edge $e_v$ for each $v \in V(F)$, such that $e_v$ is incident on $v_{\gamma}$ in $Tch(P)$ if and only if $\gamma$ is incident on $v$ in $F$.",1703.05960#foursum.tex,definition + \emph{},"
Let P be a circuit partition in a 4-regular graph F. Then the touch-graph Tch(P) is the graph with a vertex v_γ for each γ∈ P and an edge e_v for each v ∈ V(F), such that e_v is incident on v_γ in Tch(P) if and only if γ is incident on v in F.",touch-graph,['Graph']
touch-graph,"If $P$ is a circuit partition of $F$ then the \emph{touch-graph} $Tch(P)$ is a
graph with a vertex for each element of $P$ and an edge for each vertex of
$F$; the edge corresponding to $v\in V(F)$ is incident on the vertex or
vertices corresponding to element(s) of $P$ incident at $v$.",1107.5493#bingraf7.tex,definition + \emph{},"If P is a circuit partition of F then the touch-graph Tch(P) is a
graph with a vertex for each element of P and an edge for each vertex of
F; the edge corresponding to v∈ V(F) is incident on the vertex or
vertices corresponding to element(s) of P incident at v.",touch-graph,['Graph']
transitive,"An oriented $3$--hypergraph $H$ is said to be \emph{transitive} , if whenever $(u\, v\, z)$ and $(z\, v\, w) \in O(H)$ then $(u\, v\, w) \in O(H)$ (this implies also $(u\, w\, z) \in O(H)$).",1402.5739#perfection_060114.tex,definition + \emph{},"An oriented 3–hypergraph H is said to be transitive , if whenever (u  v  z) and (z  v  w) ∈ O(H) then (u  v  w) ∈ O(H) (this implies also (u  w  z) ∈ O(H)).",transitive,['Transitive']
transitive,"A group $\Gamma \leq S_n$ is called \textit{transitive} , if for every $i,j \in [n]$, there exists an element $\pi \in \Gamma$, so that $\pi(i)=j$.",1609.05320#test.tex,definition + \textit{},"A group Γ≤ S_n is called transitive , if for every i,j ∈ [n], there exists an element π∈Γ, so that π(i)=j.",transitive,['Transitive']
transitive,"\label{15t}
Let $G_{\tau}$ be a bidirected graph.  $G_\tau$ is \emph{transitive} if, for any vertices $x$ and $y$ (not necessarily distinct) such that there is an $(\alpha,\beta)$ b-path from $x^\alpha$ to $y^\beta$ in $G_\tau$, there is an edge $\{x^\alpha, y^\beta\}$ in $G_\tau$.",1610.00179#RT-FT-tctr-arxiv.tex,definition + \emph{},"
Let G_τ be a bidirected graph.  G_τ is transitive if, for any vertices x and y (not necessarily distinct) such that there is an (α,β) b-path from x^α to y^β in G_τ, there is an edge {x^α, y^β} in G_τ.",transitive,['Transitive']
transitive,A ladder system $\ul C$ on $T$ is \emph{transitive} iff $$C_t\cap \da s\subseteq C_s$$ for all $t\in T$ and $s\in C_t$.,1409.2922#1409.2922.tex,definition + \emph{},"A ladder system C on T is transitive iff 
    C_t∩ s⊆ C_s
 for all t∈ T and s∈ C_t.",transitive,['Transitive']
transitive,"A subset $I\subseteq \Delta$ is \emph{transitive} if $(c,b)\in I$ and $(b,a)\in I$
  implies $(c,a)\in I$.",1910.11740#article.tex,definition + \emph{},"A subset I⊆Δ is transitive if (c,b)∈ I and (b,a)∈ I
  implies (c,a)∈ I.",transitive,['Transitive']
transitive,"\label{def:transitiveTheory}
	We say a theory $T$ is \emph{transitive} if for every $\phi(x)$ in one free variable, either $T_1 \models \forall x\, \phi(x)$
	or $T_1 \models \forall x\, \neg \phi(x)$ (i.e. $|S_1(T_1)| = 1$).",1502.00897#prodElemArxiv1.tex,definition + \emph{},"
	We say a theory T is transitive if for every ϕ(x) in one free variable, either T_1 ∀ x ϕ(x)
	or T_1 ∀ x ϕ(x) (i.e. |S_1(T_1)| = 1).",transitive,['Transitive']
transversal-set,"\label{deftransversalset}
A \textit{transversal-set} of the starting Latin cube of order $n$ is a union of two related half transversal-sets.",1904.07729#1904.07729.tex,definition + \textit{},"
A transversal-set of the starting Latin cube of order n is a union of two related half transversal-sets.",transversal-set,['Transversal']
transversal-set,"If $L$ is a Latin cube that is isomorphic to a 
Boolean Latin cube, a \textit{transversal-set} $\mathfrak{t}$ of $L$ 
is a set of $n$ cells that satisfy the following

\begin{itemize}

	\item no two cells in $\mathfrak{t}$ are in the same row/column/file;
	
	 \item no two cells in $\mathfrak{t}$ contain the same symbol;
	
	\item for any two cells in $\mathfrak{t}$, there is a unique $3$-cube
	that contain these cells.

\end{itemize}",1809.02392#1809.02392.tex,definition + \textit{},"If L is a Latin cube that is isomorphic to a 
Boolean Latin cube, a transversal-set 𝔱 of L 
is a set of n cells that satisfy the following



	
  * no two cells in 𝔱 are in the same row/column/file;
	
	 
  * no two cells in 𝔱 contain the same symbol;
	
	
  * for any two cells in 𝔱, there is a unique 3-cube
	that contain these cells.

",transversal-set,['Transversal']
tree,"A \emph{tree} is a finite set $T$ and a relation $E \subset T \times T$ satisfying these axioms:

\begin{itemize}
\item[] ({\sc Symmetry}) If $\alpha E \beta$, then $\beta E \alpha$.

\item[] ({\sc Antireflexivity}) If $\alpha E \beta$, then $\alpha \neq \beta$.

\item[] ({\sc Connectedness}) If $\alpha, \beta$ are distinct vertices, then there exist $\gamma_1, \ldots, \gamma_k \in T$ with $\gamma_1 = \alpha$, $\gamma_k = \beta$, and $\gamma_i E \gamma_{i+1}$ for every $i$.

\item[] ({\sc No cycles}) If $\gamma_1, \ldots, \gamma_k$ are vertices with $\gamma_i E \gamma_{i+1}$ and $\gamma_i \neq \gamma_{i+2}$ for all $i$, then $\gamma_1 \neq \gamma_k$.
\end{itemize}
\null\hfill$\triangle$",1709.00119#2-associahedra.tex,definition + \emph{},"A tree is a finite set T and a relation E ⊂ T × T satisfying these axioms:



   (Symmetry) If α E β, then β E α.


   (Antireflexivity) If α E β, then α≠β.


   (Connectedness) If α, β are distinct vertices, then there exist γ_1, …, γ_k ∈ T with γ_1 = α, γ_k = β, and γ_i E γ_i+1 for every i.


   (No cycles) If γ_1, …, γ_k are vertices with γ_i E γ_i+1 and γ_i ≠γ_i+2 for all i, then γ_1 ≠γ_k.

",tree,['Tree']
tree,"%  If $\sigma$ is a set of integers (finite or infinite), we write \[FS(\sigma):=\{\sum_{n\in I}n\mid I\subseteq\sigma,I\text{ finite},I\neq\emptyset\},\] the set of finite sums from $\sigma$.

  A \emph{tree} $T$ is a collection of non-empty finite sets of integers such that if $\sigma\in T$ and $\emptyset\neq\tau\subseteq\sigma$ then $\tau\in T$.  We write $\sigma<n$ if $m<n$ for all $m\in FS(\sigma)$.  We write $\sigma<\tau$ if $\tau$ is nonempty and $\sigma<n$ for every $n\in FS(\tau)$.  We write $\sigma<T$ if $\sigma<\tau$ for every $\tau\in T$.

We write $FS(T)$ for $\bigcup_{\sigma\in T}FS(\sigma)$.  If $T,T'$ are trees, we write $T'\subseteq_{FS}T$ if $FS(T')\subseteq FS(T)$.

If $\sigma\in T$, we define a new tree, $T-\sigma$, by setting $\tau\in (T-\sigma)$ iff $\sigma<\tau$ and $\sigma\cup\tau\in T$.  When $\sigma<T$, $T+\sigma$ is the tree generated by $T\cup\{\sigma\cup\tau\mid \tau\in T\}$.

We may view $T$ as being partially ordered by the relation $\sigma\prec\tau$ iff $\tau\subseteq\sigma$ and there is a $\sigma'\subseteq\sigma$ such that $\tau<\sigma'$.  We write $ht(T)$ for the ordinal height of $T$ under this ordering if it is well-founded, and $ht(T)=\infty$ if $T$ is ill-founded.

%We write $T_{\geq \alpha}$ for the set of $\sigma\in T$ such that $ht(T-\sigma)\geq\alpha$.",1001.1175#1001.1175.tex,definition + \emph{},"

  A tree T is a collection of non-empty finite sets of integers such that if σ∈ T and ∅≠τ⊆σ then τ∈ T.  We write σ<n if m<n for all m∈ FS(σ).  We write σ<τ if τ is nonempty and σ<n for every n∈ FS(τ).  We write σ<T if σ<τ for every τ∈ T.

We write FS(T) for ⋃_σ∈ TFS(σ).  If T,T' are trees, we write T'⊆_FST if FS(T')⊆ FS(T).

If σ∈ T, we define a new tree, T-σ, by setting τ∈ (T-σ) iff σ<τ and σ∪τ∈ T.  When σ<T, T+σ is the tree generated by T∪{σ∪τ|τ∈ T}.

We may view T as being partially ordered by the relation σ≺τ iff τ⊆σ and there is a σ'⊆σ such that τ<σ'.  We write ht(T) for the ordinal height of T under this ordering if it is well-founded, and ht(T)=∞ if T is ill-founded.

",tree,['Tree']
tree,"\index{Baum} 
Let  $S$ be a set and  put $S^\kw = \Cup_{n= 0}^\infty S^{\{0,\ldots, n-1\}}$. 
A non empty set $T\subset S^{\kw}$ is a \emph{tree} in $S$ 
  iff for all $f\in S^\kw$, $g\in T$ such that 
$\dom f\subset \dom g$, $g_{\rest \dom f} =f$ one has $f\in T$.   
%",0807.1451#MultidimCSTrevised.tex,definition + \emph{},"Baum 
Let  S be a set and  put S^ = ⋓_n= 0^∞ S^{0,…, n-1}. 
A non empty set T⊂ S^ is a tree in S 
  iff for all f∈ S^, g∈ T such that 
f⊂ g, g_ f =f one has f∈ T.   
",tree,['Tree']
tree,"Connected network $T\in \Omega(V)$ is called a \emph{tree} if $\sum_{i=1}^n
d_T(i)=2(n-1)$. The collection of trees over vertex set $V$ is denoted with
$\mathcal{T}(V)$.",1808.06199#GoubkoKuznetsov.tex,definition + \emph{},"Connected network T∈Ω(V) is called a tree if ∑_i=1^n
d_T(i)=2(n-1). The collection of trees over vertex set V is denoted with
𝒯(V).",tree,['Tree']
tree,"\rm
Suppose $G = (V,\E)$ is a digraph with vertex set $V = \{1,2,...,n\}$ and Laplacian matrix $L$. A spanning \emph{tree} of $G$ rooted at vertex $i$ is a connected subgraph $T$ with vertex set $V$ such that
\begin{enumerate}
\item [\rm (i)] Every vertex of $T$ other than $i$ has indegree $1$.
\item [\rm (ii)] The vertex $i$ has indegree $0$.
\item [\rm (iii)] $T$ has no directed cycles. 
\end{enumerate}",1911.05951#main.tex,definition + \emph{},"Suppose G = (V,) is a digraph with vertex set V = {1,2,...,n} and Laplacian matrix L. A spanning tree of G rooted at vertex i is a connected subgraph T with vertex set V such that


  (i) Every vertex of T other than i has indegree 1.

  (ii) The vertex i has indegree 0.

  (iii) T has no directed cycles. 
",tree,['Tree']
tree bound,"[Tree bound]\label{def:treebound}
Given a group $G$ and $A\subseteq G$, the \emph{tree bound} for $A$, denoted by $d(A)$, is the least integer $d$ such that there do not exist sequences $\langle a_{\eta}: \eta \in 2^d\rangle$, $\langle b_{\rho}: \rho \in 2^{<d}\rangle$ of elements of $G$ with the property that for each $\eta\in 2^d$ and $\rho\in 2^{<d}$, if $\rho \triangleleft \eta$, then $a_{\eta}+b_{\rho}\in A$ if and only if $\rho\wedge 1\trianglelefteq \eta$.",1805.06847#1805.06847.tex,definition + \emph{},"[Tree bound]
Given a group G and A⊆ G, the tree bound for A, denoted by d(A), is the least integer d such that there do not exist sequences ⟨ a_η: η∈ 2^d⟩, ⟨ b_ρ: ρ∈ 2^<d⟩ of elements of G with the property that for each η∈ 2^d and ρ∈ 2^<d, if ρ◃η, then a_η+b_ρ∈ A if and only if ρ∧ 1⊴η.",tree bound,['Tree']
tree bound,"[Tree bound]\label{def:treebound}
Given a graph $\Gamma=(V,E)$, the \emph{tree bound} for $\Gamma$, denoted by $d(\Gamma)$, is the least integer $d$ such that there do not exist sequences $\langle a_{\eta}: \eta \in 2^d\rangle$, $\langle b_{\rho}: \rho \in 2^{<d}\rangle$ of elements of $V$ with the property that for each $\eta\in 2^d$ and $\rho\in 2^{<d}$, if $\rho \triangleleft \eta$, then $a_{\eta}b_{\rho}\in E$ if and only if $\rho\wedge 1\trianglelefteq \eta$.",1710.02021#toystablereg.tex,definition + \emph{},"[Tree bound]
Given a graph Γ=(V,E), the tree bound for Γ, denoted by d(Γ), is the least integer d such that there do not exist sequences ⟨ a_η: η∈ 2^d⟩, ⟨ b_ρ: ρ∈ 2^<d⟩ of elements of V with the property that for each η∈ 2^d and ρ∈ 2^<d, if ρ◃η, then a_ηb_ρ∈ E if and only if ρ∧ 1⊴η.",tree bound,['Tree']
tree decomposition;bags;width;treewidth,"[Tree Decomposition, Treewidth]
	A \emph{tree decomposition} of a graph $G = (V, E)$ is a pair $(T, X)$ of a
	tree $T = (N, F)$ and an indexed family of vertex sets $(X_t)_{t \in N}$
	(called \emph{bags} ), such that the following properties hold.
	\begin{enumerate}[label=(\roman*)]
	  \item Each vertex $v \in V$ is contained in at least one bag.
	  \item For each edge $e \in E$ there exists a bag containing both endpoints.
	  \item For each vertex $v \in V$, the bags in the tree decomposition that
	  contain $v$ form a subtree of $T$.
	\end{enumerate}
	The \emph{width} of a tree decomposition is the size of the largest bag minus 1
	and the \emph{treewidth} of a graph is the minimum width of all its tree
	decompositions.",1503.01604#document.tex,definition + \emph{},"[Tree Decomposition, Treewidth]
	A tree decomposition of a graph G = (V, E) is a pair (T, X) of a
	tree T = (N, F) and an indexed family of vertex sets (X_t)_t ∈ N
	(called bags ), such that the following properties hold.
	
	  
  * Each vertex v ∈ V is contained in at least one bag.
	  
  * For each edge e ∈ E there exists a bag containing both endpoints.
	  
  * For each vertex v ∈ V, the bags in the tree decomposition that
	  contain v form a subtree of T.
	
	The width of a tree decomposition is the size of the largest bag minus 1
	and the treewidth of a graph is the minimum width of all its tree
	decompositions.",tree decomposition;bags;width;treewidth,"['Decomposition', 'Tree', 'Composition']"
tree decomposition;bags;width;treewidth,"[tree decomposition and treewidth]
A \emph{tree decomposition} of a graph~$G$
is a pair~$(T,\mathcal{X})$ where $T$ is a tree and
$\mathcal{X}$ a family $(X_t)_{t \in \vertices{{T}}}$ of
subsets of $\vertices{G}$ (called \emph{bags} ) indexed by
elements of $\vertices{T}$ and such that
 \begin{enumerate}[(i)]
 \item $\bigcup_{t \in \vertices{{T}}} X_t = \vertices{G}$;
 \item for every edge~$e$ of~$G$ there is an element of~$\mathcal{X}$
containing both ends of~$e$;
 \item for every~$v \in \vertices{G}$, the subgraph of~${T}$
induced by $\{t \in \vertices{{T}}\mid {v \in X_t}\}$ is connected.
 \end{enumerate}


The \emph{width} of a tree decomposition~${T}$ is defined as
equal to $\max_{t \in \vertices{{T}}}~{\card{X_t} - 1}$. The
\emph{treewidth} of~$G$, written~$\tw(G)$, is the minimum width of any
of its tree decompositions.",1305.7376#1305.7376.tex,definition + \emph{},"[tree decomposition and treewidth]
A tree decomposition of a graph G
is a pair (T,𝒳) where T is a tree and
𝒳 a family (X_t)_t ∈T of
subsets of G (called bags ) indexed by
elements of T and such that
 
 
  * ⋃_t ∈T X_t = G;
 
  * for every edge e of G there is an element of 𝒳
containing both ends of e;
 
  * for every v ∈G, the subgraph of T
induced by {t ∈T|v ∈ X_t} is connected.
 


The width of a tree decomposition T is defined as
equal to max_t ∈T X_t - 1. The
treewidth of G, written (G), is the minimum width of any
of its tree decompositions.",tree decomposition;bags;width;treewidth,"['Decomposition', 'Tree', 'Composition']"
tree decomposition;bags;width;treewidth,"\label{def:tw}
  A pair $(T,X)$ is a \emph{tree decomposition} of a graph $G=(V,E)$
  if $T$ is a tree with node set $I$ and $X$ maps nodes of $T$ to
  subsets of $V$ (called \emph{bags} ) such that
  \begin{enumerate}
  \item \label{tw:1} % $\bigcup_{i \in I} X(i) = V$
    $\forall v \in V ,\hq \exists i \in I, \hq v \in X(i)$;
  \item \label{tw:2}
    $\forall uv \in E, \hq \exists i \in I, \hq \{u,v\} \subseteq X(i)$;
  \item \label{tw:3}
    $\forall v \in V, \hq  T[\{i \mid v \in X(i)\}]$ is connected.
  \end{enumerate}
  The \emph{width} of $(T,X)$ is $\max_{i \in I} |X(i)|-1$ and the
  \emph{treewidth} of $G$ is the minimum width of a tree decomposition of $G$.
  It is denoted as $\tw(G)$.
%",1705.05790#NonbipartiteArxivV3.tex,definition + \emph{},"
  A pair (T,X) is a tree decomposition of a graph G=(V,E)
  if T is a tree with node set I and X maps nodes of T to
  subsets of V (called bags ) such that
  
  
  *  
    ∀ v ∈ V ,∃ i ∈ I,  v ∈ X(i);
  
  * 
    ∀ uv ∈ E, ∃ i ∈ I, {u,v}⊆ X(i);
  
  * 
    ∀ v ∈ V,   T[{i | v ∈ X(i)}] is connected.
  
  The width of (T,X) is max_i ∈ I |X(i)|-1 and the
  treewidth of G is the minimum width of a tree decomposition of G.
  It is denoted as (G).
",tree decomposition;bags;width;treewidth,"['Decomposition', 'Tree', 'Composition']"
tree;forest,"[\cite{F} tree, forest]\label{d:tree} A connected 
simplicial complex $\D$ is a \emph{tree} if every nonempty
subcollection of $\D$ has a leaf.  If $\D$ is not necessarily
connected, but every subcollection has a leaf, then $\D$ is called a
\emph{forest} .",1202.0750#restrees.tex,definition + \emph{},"[<cit.> tree, forest] A connected 
simplicial complex  is a tree if every nonempty
subcollection of  has a leaf.  If  is not necessarily
connected, but every subcollection has a leaf, then  is called a
forest .",tree;forest,['Tree']
tree;forest,An acyclic connected graph is called a \emph{tree} . A finite disjoint union of trees is said to be a \emph{forest} .,1706.02606#The_Chain_Group_of_a_Forest.tex,definition + \emph{},An acyclic connected graph is called a tree . A finite disjoint union of trees is said to be a forest .,tree;forest,['Tree']
triangle,"Given a linear system $(P,\mathcal{L})$, we will call a
\emph{triangle} $\mathcal{T}$ of $(P,\mathcal{L})$ as the linear
system induced by three points in general position (non collinear)
and three lines induced by them.",1509.03696#On_transversal_and_2-packing_numbers_in_straight_line_segment_systems_arcxiv11sep.tex,definition + \emph{},"Given a linear system (P,ℒ), we will call a
triangle 𝒯 of (P,ℒ) as the linear
system induced by three points in general position (non collinear)
and three lines induced by them.",triangle,['Triangle']
triangle,"A \emph{triangle} in a graph $G$ is a set of three vertices $v_1, v_2, v_3$ such that $(v_1, v_2) \in E, (v_1, v_3) \in E, (v_2, v_3) \in E$.",1707.08372#1707.08372.tex,definition + \emph{},"A triangle in a graph G is a set of three vertices v_1, v_2, v_3 such that (v_1, v_2) ∈ E, (v_1, v_3) ∈ E, (v_2, v_3) ∈ E.",triangle,['Triangle']
triangle,"A \emph{triangle} in a hypergraph $H$ is a set of three distinct edges $e,f,g \in H$
and three distinct vertices $u,v,w \in V(H)$ such that $u,v \in e$, $v,w \in f$, $w, u \in g$
and $\{u, v, w\} \cap e \cap f \cap g$.",1302.3872#trifree6.tex,definition + \emph{},"A triangle in a hypergraph H is a set of three distinct edges e,f,g ∈ H
and three distinct vertices u,v,w ∈ V(H) such that u,v ∈ e, v,w ∈ f, w, u ∈ g
and {u, v, w}∩ e ∩ f ∩ g.",triangle,['Triangle']
triangle,"[\cite{SS05}] \label{thm:K_3}
Consider the $K_3$-game (i.e.\ the \emph{triangle} game) played on the edge set of $\Gnp$. Then
$$\lim_{n \rightarrow \infty} \Pr[\Gnp \; \text{is Maker's win in the} \; K_3\text{-game}] =
\begin{cases}
1, &p \gg n^{-5/9}, \\
0, &p \ll n^{-5/9}.
\end{cases} $$",1401.4384#H_game_arxiv.tex,theorem + \emph{},"[<cit.>] 
Consider the K_3-game (i.e. the triangle game) played on the edge set of . Then

    lim_n →∞[ is Maker's win in the  K_3-game] =
    
    1,    p ≫ n^-5/9, 
    
    0,    p ≪ n^-5/9.
",triangle,['Triangle']
triangle;terminal separating,"Let $G$ be a $2$-connected graph and $X = \{a,b,c,d\} \subseteq V(G)$. Suppose there are three distinct $2$-separations $(A_{1},B_{1}),(A_{2},B_{2}),(A_{3},B_{3})$. We say these separations form a \emph{triangle} if $A_{1} \cap B_{1} = \{x,y\}$, $A_{2} \cap B_{2} = \{x,v\}$ and $A_{3} \cap B_{3} = \{v,y\}$ for distinct vertices $x,y,v \in V(G)$. For notational convenience, we will enforce that in a triangle, $(A_{i} \setminus (A_{i} \cap B_{i})) \cap (A_{j} \setminus (A_{j} \cap B_{j})) = \emptyset$ for any $i,j \in \{1,2,3\}$, $i \neq j$.  We say a triangle $(A_{1},B_{1}),(A_{2},B_{2}),(A_{3},B_{3})$, is \emph{terminal separating} if exactly two vertices of $X$ are contained in $A_{1}$, exactly one vertex of $X$ is contained in $A_{2} \setminus (A_{2} \cap B_{2})$ and exactly one vertex of $X$ is contained in $A_{3} \setminus (A_{3} \cap B_{3})$. Two triangles  $((A^{1}_{1},B^{1}_{1}), (A^{1}_{2},B^{1}_{2}), (A^{1}_{3},B^{1}_{3}))$, $((A^{2}_{1},B^{2}_{1}),(A^{2}_{2},B^{2}_{2}),(A^{2}_{3},B^{2}_{3}))$, are distinct if there exists an $i \in \{1,2,3\}$, such that for $A^{2}_{i}$, $A^{1}_{j} \cap B^{1}_{j} \subseteq A^{2}_{i}$ for all $j \in \{1,2,3\}$ and there exists an $i \in \{1,2,3\}$ such that for  $A^{1}_{i}$, $A^{2}_{j} \cap B^{2}_{j} \subseteq A^{1}_{i}$ for all $j \in \{1,2,3\}$.",1704.04701#ThesisFinalVersion.tex,definition + \emph{},"Let G be a 2-connected graph and X = {a,b,c,d}⊆ V(G). Suppose there are three distinct 2-separations (A_1,B_1),(A_2,B_2),(A_3,B_3). We say these separations form a triangle if A_1∩ B_1 = {x,y}, A_2∩ B_2 = {x,v} and A_3∩ B_3 = {v,y} for distinct vertices x,y,v ∈ V(G). For notational convenience, we will enforce that in a triangle, (A_i∖ (A_i∩ B_i)) ∩ (A_j∖ (A_j∩ B_j)) = ∅ for any i,j ∈{1,2,3}, i ≠ j.  We say a triangle (A_1,B_1),(A_2,B_2),(A_3,B_3), is terminal separating if exactly two vertices of X are contained in A_1, exactly one vertex of X is contained in A_2∖ (A_2∩ B_2) and exactly one vertex of X is contained in A_3∖ (A_3∩ B_3). Two triangles  ((A^1_1,B^1_1), (A^1_2,B^1_2), (A^1_3,B^1_3)), ((A^2_1,B^2_1),(A^2_2,B^2_2),(A^2_3,B^2_3)), are distinct if there exists an i ∈{1,2,3}, such that for A^2_i, A^1_j∩ B^1_j⊆ A^2_i for all j ∈{1,2,3} and there exists an i ∈{1,2,3} such that for  A^1_i, A^2_j∩ B^2_j⊆ A^1_i for all j ∈{1,2,3}.",triangle;terminal separating,"['Triangle', 'Term']"
triangle;terminal separating,"Let $G$ be a $2$-connected graph and $X = \{a,b,c,d\} \subseteq V(G)$. Suppose there are three distinct $2$-separations $(A_{1},B_{1}),(A_{2},B_{2}),(A_{3},B_{3})$. We say these separations form a \emph{triangle} if $A_{1} \cap B_{1} = \{x,y\}$, $A_{2} \cap B_{2} = \{x,v\}$ and $A_{3} \cap B_{3} = \{v,y\}$ for distinct vertices $x,y,v \in V(G)$. For notational convenience, we will enforce that in a triangle, $(A_{i} \setminus B_{i}) \cap (A_{j} \setminus B_{j}) = \emptyset$ for any $i,j \in \{1,2,3\}$, $i \neq j$.  We say a triangle $(A_{1},B_{1}),(A_{2},B_{2}),(A_{3},B_{3})$, is \emph{terminal separating} if exactly two vertices of $X$ are contained in $A_{1}$, exactly one vertex of $X$ is contained in $A_{2} \setminus B_{2}$ and exactly one vertex of $X$ is contained in $A_{3} \setminus  B_{3}$. Two triangles  $((A^{1}_{1},B^{1}_{1}), (A^{1}_{2},B^{1}_{2}), (A^{1}_{3},B^{1}_{3}))$, $((A^{2}_{1},B^{2}_{1}),(A^{2}_{2},B^{2}_{2}),(A^{2}_{3},B^{2}_{3}))$, are distinct if there exists an $i \in \{1,2,3\}$, such that for $A^{2}_{i}$, $A^{1}_{j} \cap B^{1}_{j} \subseteq A^{2}_{i}$ for all $j \in \{1,2,3\}$ and there exists an $i \in \{1,2,3\}$ such that for  $A^{1}_{i}$, $A^{2}_{j} \cap B^{2}_{j} \subseteq A^{1}_{i}$ for all $j \in \{1,2,3\}$.",1708.03609#RootedMinorsPaperv2.tex,definition + \emph{},"Let G be a 2-connected graph and X = {a,b,c,d}⊆ V(G). Suppose there are three distinct 2-separations (A_1,B_1),(A_2,B_2),(A_3,B_3). We say these separations form a triangle if A_1∩ B_1 = {x,y}, A_2∩ B_2 = {x,v} and A_3∩ B_3 = {v,y} for distinct vertices x,y,v ∈ V(G). For notational convenience, we will enforce that in a triangle, (A_i∖ B_i) ∩ (A_j∖ B_j) = ∅ for any i,j ∈{1,2,3}, i ≠ j.  We say a triangle (A_1,B_1),(A_2,B_2),(A_3,B_3), is terminal separating if exactly two vertices of X are contained in A_1, exactly one vertex of X is contained in A_2∖ B_2 and exactly one vertex of X is contained in A_3∖  B_3. Two triangles  ((A^1_1,B^1_1), (A^1_2,B^1_2), (A^1_3,B^1_3)), ((A^2_1,B^2_1),(A^2_2,B^2_2),(A^2_3,B^2_3)), are distinct if there exists an i ∈{1,2,3}, such that for A^2_i, A^1_j∩ B^1_j⊆ A^2_i for all j ∈{1,2,3} and there exists an i ∈{1,2,3} such that for  A^1_i, A^2_j∩ B^2_j⊆ A^1_i for all j ∈{1,2,3}.",triangle;terminal separating,"['Triangle', 'Term']"
trivial,"A factor $u=x[i..j]$ of $x$ can be \emph{cyclically shifted
right by 1 position} if $x[i]=x[j\+1]$. The factor $u$ can be \emph{cyclically 
shifted right by $k$ positions} if $u$ can be cyclically shifted right by 1 position and the factor $x[i\+1..j\+1]$ can be cyclically
shifted right be $k\-1$ positions. Similarly for \emph{left cyclic
shifts} . By a \emph{trivial} cyclic shift we mean a shift by $0$ positions.",1310.3429#da3474.tex,definition + \emph{},"A factor u=x[i..j] of x can be cyclically shifted
right by 1 position if x[i]=x[j1]. The factor u can be cyclically 
shifted right by k positions if u can be cyclically shifted right by 1 position and the factor x[i1..j1] can be cyclically
shifted right be k­1 positions. Similarly for left cyclic
shifts . By a trivial cyclic shift we mean a shift by 0 positions.",trivial,['Trivial']
trivial,"\label{trivcolor}
We say that a coloring of $\cH$ is \emph{trivial} if it contains a monochromatic $2$-transversal.",1909.02867#1909.02867.tex,definition + \emph{},"
We say that a coloring of  is trivial if it contains a monochromatic 2-transversal.",trivial,['Trivial']
trivial,"\label{dfnTriviality}
  A stable theory $ T $ is called \textit{trivial} , if in any model $ M\models T, $ any set $ A\subseteq M, $ and any elements $ a,b,c\in M $ that are pairwise independent (in the sense of non-forking) over $ A, $ we have that $ \forkindep{a}{Ac}{b}. $",1903.00272#Valizadeh-Pourmahdian.tex,definition + \textit{},"
  A stable theory T is called trivial , if in any model M T, any set A⊆ M, and any elements a,b,c∈ M that are pairwise independent (in the sense of non-forking) over A, we have that aAcb.",trivial,['Trivial']
